nu,nr,mask_S_pct,mask_SU_pct,mask_SUR_pct,mask_SURC_pct,mask_SURC_se,delta_U_pp,delta_R_pp,delta_C_pp,cbcf_gap_pp,headline
10,20,54.1420229968349,54.1420229968349,54.1820993726386,48.4253212019829,1.35411612404353,0,-0.0400763758037002,5.75677817065568,5.71670179485198,FALSE
10,25,54.1420229968349,54.1420229968349,54.1820993726386,48.4253212019829,1.35411612404353,0,-0.0400763758037002,5.75677817065568,5.71670179485198,FALSE
10,30,54.1420229968349,54.1420229968349,54.1820993726386,48.4253212019829,1.35411612404353,0,-0.0400763758037002,5.75677817065568,5.71670179485198,FALSE
10,35,54.1420229968349,54.1420229968349,54.1820993726386,48.4253212019829,1.35411612404353,0,-0.0400763758037002,5.75677817065568,5.71670179485198,FALSE
10,40,54.1420229968349,54.1420229968349,54.2556804459217,46.4624644403709,1.94554053262295,0,-0.113657449086844,7.79321600555088,7.67955855646403,FALSE
15,20,54.1420229968349,54.1420229968349,54.1820993726386,48.4253212019829,1.35411612404353,0,-0.0400763758037002,5.75677817065568,5.71670179485198,FALSE
15,25,54.1420229968349,54.1420229968349,54.1820993726386,48.4253212019829,1.35411612404353,0,-0.0400763758037002,5.75677817065568,5.71670179485198,FALSE
15,30,54.1420229968349,54.1420229968349,54.1820993726386,48.4253212019829,1.35411612404353,0,-0.0400763758037002,5.75677817065568,5.71670179485198,FALSE
15,35,54.1420229968349,54.1420229968349,54.1820993726386,48.4253212019829,1.35411612404353,0,-0.0400763758037002,5.75677817065568,5.71670179485198,FALSE
15,40,54.1420229968349,54.1420229968349,54.2556804459217,46.4624644403709,1.94554053262295,0,-0.113657449086844,7.79321600555088,7.67955855646403,FALSE
20,25,54.1420229968349,54.1420229968349,54.1820993726386,48.4253212019829,1.35411612404353,0,-0.0400763758037002,5.75677817065568,5.71670179485198,FALSE
20,30,54.1420229968349,54.1420229968349,54.1820993726386,48.4253212019829,1.35411612404353,0,-0.0400763758037002,5.75677817065568,5.71670179485198,TRUE
20,35,54.1420229968349,54.1420229968349,54.1820993726386,48.4253212019829,1.35411612404353,0,-0.0400763758037002,5.75677817065568,5.71670179485198,FALSE
20,40,54.1420229968349,54.1420229968349,54.2556804459217,46.4624644403709,1.94554053262295,0,-0.113657449086844,7.79321600555088,7.67955855646403,FALSE
25,30,54.1420229968349,54.1420229968349,54.1820993726386,48.4253212019829,1.35411612404353,0,-0.0400763758037002,5.75677817065568,5.71670179485198,FALSE
25,35,54.1420229968349,54.1420229968349,54.1820993726386,48.4253212019829,1.35411612404353,0,-0.0400763758037002,5.75677817065568,5.71670179485198,FALSE
25,40,54.1420229968349,54.1420229968349,54.2556804459217,46.4624644403709,1.94554053262295,0,-0.113657449086844,7.79321600555088,7.67955855646403,FALSE
30,35,54.1420229968349,54.1420229968349,54.1820993726386,48.4253212019829,1.35411612404353,0,-0.0400763758037002,5.75677817065568,5.71670179485198,FALSE
30,40,54.1420229968349,54.1420229968349,54.2556804459217,46.4624644403709,1.94554053262295,0,-0.113657449086844,7.79321600555088,7.67955855646403,FALSE
