amp,mask_S_pct,mask_SU_pct,mask_SUR_pct,mask_SURC_pct,mask_SURC_se,delta_U_pp,delta_R_pp,delta_C_pp,cbcf_gap_pp,headline
0.5,53.9924160709942,53.9924160709942,53.890131668281,48.0444226223626,1.93005586157844,0,0.10228440271316,5.84570904591843,5.94799344863159,FALSE
1,54.1420229968349,54.1420229968349,54.1820993726386,48.4253212019829,1.35411612404353,0,-0.0400763758037002,5.75677817065568,5.71670179485198,TRUE
2,55.0899283164438,55.0899283164438,54.4323464889689,52.4981189220101,0.724227135970807,0,0.657581827474886,1.9342275669588,2.59180939443369,FALSE
5,56.9903486831769,56.9903486831769,54.9409781098501,52.2564681413752,1.25145609444425,0,2.0493705733268,2.68450996847485,4.73388054180165,FALSE
10,58.4464441156164,58.4464441156164,56.5810967457809,53.347059515853,0.742083161278819,0,1.86534736983552,3.23403722992788,5.0993845997634,FALSE
