arm,intensity,final_step_loss_pct
S,0.1,0.0147439846177924
SU,0.1,0.0107452775110561
SUR,0.1,0.00566764596187863
SURC,0.1,0.00527628318368043
S,0.2,0.0264962507313764
SU,0.2,0.0212019679515749
SUR,0.2,0.0100097897630839
SURC,0.2,0.0400426402810379
S,0.3,0.00107837477146067
SU,0.3,0.065812526639498
SUR,0.3,0.00601067702197105
SURC,0.3,0.00914581454828512
S,0.4,0.00240090550893068
SU,0.4,0.00240090550893068
SUR,0.4,0.0163817358974272
SURC,0.4,0.0136925058131558
S,0.5,0.000336616527326417
SU,0.5,0.000336616527326417
SUR,0.5,0.0164383678207902
SURC,0.5,0.0147741927615082
S,0.6,0.00236852039754787
SU,0.6,0.00236852039754787
SUR,0.6,0.0103279900378031
SURC,0.6,0.0131599263140921
S,0.7,0.000517471191417762
SU,0.7,0.000517471191417762
SUR,0.7,0.0115355315186281
SURC,0.7,0.0111477724723599
S,0.8,0.000559668620014442
SU,0.8,0.000559668620014442
SUR,0.8,0.00296197757097363
SURC,0.8,0.0062649580371599
S,0.9,0.00213542530698652
SU,0.9,0.00213542530698652
SUR,0.9,0.000863161469239393
SURC,0.9,0.00376995696656854
S,1,0.00148651686325918
SU,1,0.00148651686325918
SUR,1,0.00070358144413305
SURC,1,0.0024896060023609
