arm,intensity,intensity_num,n_runs,eq_init_sys,eq_t0_sys,eq_frozen_sys,eq_zero_sys,eq_loss_resid_pct,eq_loss_frozen_pct,njc_bn,eq_t0,eq_final,n_defaults_ill,n_defaults_ins,prompted_liq_bn,repo_pledged_bn,cb_pledged_bn,eq_loss_pct,n_defaults,eq_init_sys_se,eq_t0_sys_se,eq_frozen_sys_se,eq_zero_sys_se,eq_loss_resid_pct_se,eq_loss_frozen_pct_se,njc_bn_se,eq_t0_se,eq_final_se,n_defaults_ill_se,n_defaults_ins_se,prompted_liq_bn_se,repo_pledged_bn_se,cb_pledged_bn_se,eq_loss_pct_se,n_defaults_se,arm_label,intensity_norm
mask_S,0.01,0.01,1,1178459608115.54,1157373365206.01,1134747752456.98,1127716646661.43,2.56241584921109,1.95491044024572,28.8335268337868,1157373365206.01,1127716646661.43,1,0,0,0,0,2.56241584921109,1,,,,,,,,,,,,,,,,,S (sales only),0.05
mask_S,0.05,0.05,1,1178459608115.54,1073028393567.91,1048041867698.29,883007085522.183,17.7088797635531,2.32859876023715,1539.42215609075,1073028393567.91,883007085522.184,11,0,0,0,0,17.7088797635531,11,,,,,,,,,,,,,,,,,S (sales only),0.25
mask_S,0.1,0.1,1,1178459608115.54,967597179020.28,939389944946.059,610309097636.383,36.9252917568095,2.91518357905732,3162.9426312589,970700923828.576,610309097636.383,13,3,0,0,0,37.1269684972338,16,,,,,,,,,,,,,,,,,S (sales only),0.5
mask_S,0.15,0.15,1,1178459608115.54,862165964472.65,831721285388.213,549693979613.688,36.2426722620728,3.53118544908679,3408.77216574422,872709543738.346,549693979613.688,14,5,0,0,0,37.0129519543221,19,,,,,,,,,,,,,,,,,S (sales only),0.75
mask_S,0.2,0.2,1,1178459608115.54,756734749925.02,725338189767.958,538189837655.17,28.8799889646278,4.14895181702338,3462.14594022119,780730847592.044,538189837655.17,15,5,0,0,0,31.0658930263774,20,,,,,,,,,,,,,,,,,S (sales only),1
mask_SU,0.01,0.01,1,1178459608115.54,1157373365206.01,1139531181766.94,1139531181766.94,1.54160999168166,1.54160999168166,0,1157373365206.01,1139531181766.94,0,0,0,0,0,1.54160999168163,0,,,,,,,,,,,,,,,,,S+U (+ unsecured),0.05
mask_SU,0.05,0.05,1,1178459608115.54,1073028393567.91,1051264084060.96,891899857691.065,16.8801251637505,2.02830695230592,1510.24422802109,1073028393567.91,891899857691.065,10,0,0,0,0,16.8801251637505,10,,,,,,,,,,,,,,,,,S+U (+ unsecured),0.25
mask_SU,0.1,0.1,1,1178459608115.54,967597179020.28,939389944946.059,610309097636.383,36.9252917568095,2.91518357905732,3162.9426312589,970700923828.576,610309097636.383,13,3,0,0,0,37.1269684972338,16,,,,,,,,,,,,,,,,,S+U (+ unsecured),0.5
mask_SU,0.15,0.15,1,1178459608115.54,862165964472.65,831721285388.213,549693979613.688,36.2426722620728,3.53118544908679,3408.77216574422,872709543738.346,549693979613.688,14,5,0,0,0,37.0129519543221,19,,,,,,,,,,,,,,,,,S+U (+ unsecured),0.75
mask_SU,0.2,0.2,1,1178459608115.54,756734749925.02,725338189767.958,538189837655.17,28.8799889646278,4.14895181702338,3462.14594022119,780730847592.044,538189837655.17,15,5,0,0,0,31.0658930263774,20,,,,,,,,,,,,,,,,,S+U (+ unsecured),1
