rho,mask_S_pct,mask_SU_pct,mask_SUR_pct,mask_SURC_pct,mask_SURC_se,delta_U_pp,delta_R_pp,delta_C_pp,cbcf_gap_pp,headline
0,29.547798176933,29.547798176933,11.3939444546179,9.16258860211657,1.87671888497171,0,18.1538537223152,2.23135585250131,20.3852095748165,FALSE
5,29.547798176933,29.547798176933,11.3134891979559,9.52039705310893,1.81681072666028,0,18.2343089789771,1.79309214484697,20.0274011238241,FALSE
10,29.547798176933,29.547798176933,11.2877581719687,11.414928363995,2.09576997822376,0,18.2600400049644,-0.127170192026341,18.132869812938,TRUE
20,29.547798176933,29.547798176933,10.7721163179601,9.70758188497255,1.15489210703751,0,18.775681858973,1.06453443298753,19.8402162919605,FALSE
40,29.547798176933,29.547798176933,10.7298793812946,10.9008036284649,2.13469056094559,0,18.8179187956384,-0.170924247170237,18.6469945484682,FALSE
