rho,mask_S_pct,mask_SU_pct,mask_SUR_pct,mask_SURC_pct,mask_SURC_se,delta_U_pp,delta_R_pp,delta_C_pp,cbcf_gap_pp,headline
0,54.1420229968349,54.1420229968349,54.1820993726386,48.4253212019829,1.35411612404353,0,-0.0400763758037002,5.75677817065568,5.71670179485198,FALSE
5,54.1420229968349,54.1420229968349,54.1820993726386,48.4253212019829,1.35411612404353,0,-0.0400763758037002,5.75677817065568,5.71670179485198,FALSE
10,54.1420229968349,54.1420229968349,54.1820993726386,48.4253212019829,1.35411612404353,0,-0.0400763758037002,5.75677817065568,5.71670179485198,TRUE
20,54.1420229968349,54.1420229968349,54.1820993726386,48.4253212019829,1.35411612404353,0,-0.0400763758037002,5.75677817065568,5.71670179485198,FALSE
40,54.1420229968349,54.1420229968349,54.1820993726386,48.4253212019829,1.35411612404353,0,-0.0400763758037002,5.75677817065568,5.71670179485198,FALSE
