arm,intensity,group,step,cet1_pct,lcr_pct,n_banks
S,0.1,AT,0,15.1306658677179,25.3099235963243,6
S,0.1,AT,1,15.1256787352673,25.2918644367299,6
S,0.1,AT,2,15.1234978638855,25.2692151437935,6
S,0.1,AT,3,15.1225349849165,25.241927552695,6
S,0.1,AT,4,15.1223171549552,25.210193698126,6
S,0.1,AT,5,15.1228026907316,25.1743601136386,6
S,0.1,AT,6,15.1232628065415,25.1307832714734,6
S,0.1,AT,7,15.1229169464218,25.0775663028636,6
S,0.1,AT,8,15.1227260419557,25.0205344696865,6
S,0.1,AT,9,15.1225972294648,24.9602415535749,6
S,0.1,AT,10,15.1224726866424,24.8972312332659,6
S,0.1,AT,11,15.1224338497457,24.8320538312338,6
S,0.1,AT,12,15.1224232270392,24.7652248271247,6
S,0.1,AT,13,15.12241395825,24.6972186480945,6
S,0.1,AT,14,15.1224060528984,24.6284648623318,6
S,0.1,BE,0,18.4485958712973,21.7271369070566,4
S,0.1,BE,1,18.4458859629395,21.7265208896431,4
S,0.1,BE,2,18.4445917738926,21.7262586476238,4
S,0.1,BE,3,18.4429951898974,21.725937012978,4
S,0.1,BE,4,18.4411865421284,21.7255756014407,4
S,0.1,BE,5,18.4398884863897,21.7253186565154,4
S,0.1,BE,6,18.4388158213956,21.7251027604256,4
S,0.1,BE,7,18.4376721611336,21.724871636189,4
S,0.1,BE,8,18.4366955258608,21.7246744694149,4
S,0.1,BE,9,18.4362883968376,21.72459356924,4
S,0.1,BE,10,18.4359040015462,21.7245177835608,4
S,0.1,BE,11,18.4355709234709,21.724449613065,4
S,0.1,BE,12,18.4352824050095,21.7243893135274,4
S,0.1,BE,13,18.4350309293956,21.7243368180237,4
S,0.1,BE,14,18.4348166256967,21.7242921243602,4
S,0.1,DE,0,17.1212881956736,19.7753371882733,14
S,0.1,DE,1,17.1106966600559,19.7747627326438,14
S,0.1,DE,2,17.1040896084902,19.77471744239,14
S,0.1,DE,3,17.0977995243031,19.7747967265871,14
S,0.1,DE,4,17.0915336596562,19.77510984393,14
S,0.1,DE,5,17.0870426039707,19.7759769099354,14
S,0.1,DE,6,17.0843095792648,19.7771555502467,14
S,0.1,DE,7,17.0818902307809,19.7785656936765,14
S,0.1,DE,8,17.079922537257,19.7801560025538,14
S,0.1,DE,9,17.0795305453528,19.7819727222212,14
S,0.1,DE,10,17.0786525183755,19.7815574943565,14
S,0.1,DE,11,17.0779035025319,19.7799752672438,14
S,0.1,DE,12,17.0773653218555,19.7783035669654,14
S,0.1,DE,13,17.0768967696071,19.7765416809002,14
S,0.1,DE,14,17.0764979547636,19.7746917345222,14
S,0.1,ES,0,12.5012682870816,29.6764624543332,6
S,0.1,ES,1,12.49403995727,29.6629070794505,6
S,0.1,ES,2,12.4912126954961,29.6276696084131,6
S,0.1,ES,3,12.4924865733809,29.5843162020697,6
S,0.1,ES,4,12.4912734725486,29.5278332017093,6
S,0.1,ES,5,12.492324462637,29.4609627376731,6
S,0.1,ES,6,12.4962005446029,29.386040369969,6
S,0.1,ES,7,12.5010100191424,29.3032358616453,6
S,0.1,ES,8,12.5070220187941,29.2131280307904,6
