arm,intensity,intensity_num,n_runs,eq_init_sys,eq_t0_sys,eq_frozen_sys,eq_zero_sys,eq_loss_resid_pct,eq_loss_frozen_pct,njc_bn,eq_t0,eq_final,n_defaults_ill,n_defaults_ins,prompted_liq_bn,repo_pledged_bn,cb_pledged_bn,eq_loss_pct,n_defaults,eq_init_sys_se,eq_t0_sys_se,eq_frozen_sys_se,eq_zero_sys_se,eq_loss_resid_pct_se,eq_loss_frozen_pct_se,njc_bn_se,eq_t0_se,eq_final_se,n_defaults_ill_se,n_defaults_ins_se,prompted_liq_bn_se,repo_pledged_bn_se,cb_pledged_bn_se,eq_loss_pct_se,n_defaults_se,arm_label
mask_SUR,0.15,0.15,10,1178459608115.54,1168031889789.5,1164221465304.06,1164221465304.06,0.326226066149865,0.326226066149865,0,1168031889789.5,1164221465304.06,0,0,0,32.2573841013455,0,0.326226066149885,0,0,0,10594432.0087808,10594432.0087808,0.000907032770371545,0.000907032770371545,0,0,10594432.0087634,0,0,0,0.208718597184516,0,0.000907032770370054,0,S+U+R (+ repo)
mask_SUR,0.2,0.2,10,1178459608115.54,1164555983680.82,1160882310306.17,1160882310306.17,0.315457000447186,0.315457000447186,0,1164555983680.82,1160882310306.17,0,0,0,29.0205687342092,0,0.315457000447211,0,0,0,57590678.3754384,57590678.3754384,0.00494529066721302,0.00494529066721302,0,0,57590678.3754894,0,0,0,0.23591786188099,0,0.00494529066721741,0,S+U+R (+ repo)
mask_SUR,0.5,0.5,10,1178459608115.54,1143700547028.74,1140237764060.55,1140237764060.55,0.302770071867977,0.302770071867977,0,1143700547028.74,1140237764060.55,0,0,0,36.4741276726226,0,0.302770071867954,0,0,0,4500558.88677022,4500558.88677022,0.000393508501719477,0.000393508501719477,0,0,4500558.88675898,0,0,0,0.148784241267391,0,0.000393508501718495,0,S+U+R (+ repo)
mask_SUR,1,1,10,1178459608115.54,1108941485941.94,1102487618219.79,949133557562.937,14.4108530887235,0.581984514418397,1370.16760891697,1108941485941.94,949133557562.937,2,0,0,61.5337568459744,0,14.4108530887235,2,0,0,18217453.7827134,18076232.8497189,0.00163004388228516,0.00164277863292665,2.24036743134174,0,18076232.8496871,0,0,0,0.373799435994031,0,0.00163004388228247,0,S+U+R (+ repo)
mask_SURC,0.01,0.01,10,1178459608115.54,1177764426893.8,1173710286870.44,1173710286870.44,0.344223337943596,0.344223337943596,0,1177764426893.8,1173710286870.44,0,0,17.6217624047025,9.7809200460342,19.0519424061061,0.344223337943602,0,0,0,148503998.479108,148503998.479108,0.0126089729905299,0.0126089729905299,0,0,148503998.479156,0,0,0.0654635350586117,0.179556174748495,0.073168467302789,0.0126089729905339,0,S+U+R+C (+ CB)
mask_SURC,0.05,0.05,10,1178459608115.54,1174983702006.86,1171230304538.68,1171230304538.68,0.319442513268297,0.319442513268297,0,1174983702006.86,1171230304538.68,0,0,17.3504984974086,11.181460663494,18.8028350412239,0.319442513268304,0,0,0,6255164.42825349,6255164.42825349,0.000532361803620743,0.000532361803620743,0,0,6255164.42824206,0,0,0.146035082245132,0.238787301994403,0.191855827081016,0.000532361803619771,0,S+U+R+C (+ CB)
mask_SURC,0.1,0.1,10,1178459608115.54,1171507795898.18,1167728079636.69,1167728079636.69,0.322636885108548,0.322636885108548,0,1171507795898.18,1167728079636.69,0,0,19.0604106018271,12.8143981743013,20.6110038420168,0.322636885108538,0,0,0,4028779.05988087,4028779.05988087,0.000343896905678891,0.000343896905678891,0,0,4028779.05986982,0,0,0.247956197052853,0.646089030862238,0.25001018516158,0.000343896905677949,0,S+U+R+C (+ CB)
mask_SURC,0.15,0.15,10,1178459608115.54,1168031889789.5,1164155025609.16,1164155025609.16,0.331914240889236,0.331914240889236,0,1168031889789.5,1164155025609.16,0,0,23.0205890168005,14.6590709079521,24.9461993942397,0.331914240889261,0,0,0,2793979.76095955,2793979.76095955,0.000239204065007428,0.000239204065007428,0,0,2793979.76095601,0,0,0.105641406896701,0.205054747219146,0.1081992404913,0.000239204065007125,0,S+U+R+C (+ CB)
mask_SURC,0.2,0.2,10,1178459608115.54,1164555983680.82,1160659853321.85,1160659853321.85,0.334559301018124,0.334559301018124,0,1164555983680.82,1160659853321.85,0,0,23.6057214691232,14.4827945135535,25.771459551207,0.334559301018138,0,0,0,4096171.32200339,4096171.32200339,0.000351736745970478,0.000351736745970478,0,0,4096171.32196037,0,0,0.131721580077482,0.819058892619712,0.197361729652531,0.000351736745966784,0,S+U+R+C (+ CB)
mask_SURC,0.5,0.5,10,1178459608115.54,1143700547028.74,1139734396773.68,1139734396773.68,0.346782229435931,0.346782229435931,0,1143700547028.74,1139734396773.68,0,0,20.9682821614167,19.634319877559,22.7567015957948,0.346782229435923,0,0,0,7215775.31193475,7215775.31193475,0.000630914738187444,0.000630914738187444,0,0,7215775.31192536,0,0,0.460002979287309,0.481578078481705,0.482188552677788,0.000630914738186627,0,S+U+R+C (+ CB)
mask_SURC,1,1,10,1178459608115.54,1108941485941.94,1101532956833.82,967250066095.93,12.7771773030616,0.668072139245527,1238.42611936925,1108941485941.94,967250066095.93,1.8,0,31.0460979907207,21.277600290838,116.465083088159,12.7771773030616,1.8,0,0,17094471.642875,12607173205.2555,1.13686550328189,0.00154151250174891,102.49908638393,0,12607173205.2555,0.133333333333333,0,11.6011800991739,0.273677536503125,8.15382542450782,1.13686550328189,0.133333333333333,S+U+R+C (+ CB)
