arm,intensity,intensity_num,n_runs,eq_init_sys,eq_t0_sys,eq_frozen_sys,eq_zero_sys,eq_loss_resid_pct,eq_loss_frozen_pct,njc_bn,eq_t0,eq_final,n_defaults_ill,n_defaults_ins,prompted_liq_bn,repo_pledged_bn,cb_pledged_bn,eq_loss_pct,n_defaults,eq_init_sys_se,eq_t0_sys_se,eq_frozen_sys_se,eq_zero_sys_se,eq_loss_resid_pct_se,eq_loss_frozen_pct_se,njc_bn_se,eq_t0_se,eq_final_se,n_defaults_ill_se,n_defaults_ins_se,prompted_liq_bn_se,repo_pledged_bn_se,cb_pledged_bn_se,eq_loss_pct_se,n_defaults_se,arm_label,intensity_norm
mask_SU,0.9,0.9,1,1178459608115.54,954201618876.499,921774441049.922,435175841299.85,54.3937221766363,3.39835703326063,3730.82763283452,954201618876.498,435175841299.85,19,0,0,0,0,54.3937221766363,19,,,,,,,,,,,,,,,,,S+U (+ unsecured),0.9
mask_SU,1,1,1,1178459608115.54,929284064516.605,896720950670.195,426150872600.103,54.1420229968349,3.50410763401487,3737.62431775521,929284064516.605,426150872600.103,19,0,0,0,0,54.1420229968349,19,,,,,,,,,,,,,,,,,S+U (+ unsecured),1
mask_SUR,0.1,0.1,10,1178459608115.54,1153542053755.65,1149849238707.3,1149849238707.3,0.320128341773007,0.320128341773007,0,1153542053755.65,1149849238707.3,0,0,0,29.1262420196032,0,0.320128341772975,0,0,0,118118267.078327,118118267.078327,0.0102396151656338,0.0102396151656338,0,0,118118267.078323,0,0,0,0.229027600566856,0,0.0102396151656335,0,S+U+R (+ repo),0.1
mask_SUR,0.2,0.2,10,1178459608115.54,1128624499395.75,1124528904525.74,1123895521695.29,0.419003636992856,0.362883746738523,7.88007369483993,1128624499395.75,1123895521695.29,1,0,0,36.0009131539652,0,0.419003636992869,1,0,0,62528210.5448444,62528210.5448382,0.00554021382473221,0.00554021382473276,0,0,62528210.54487,0,0,0,0.333156349785459,0,0.00554021382473503,0,S+U+R (+ repo),0.2
mask_SUR,0.3,0.3,10,1178459608115.54,1103706945035.86,1096918902300.62,1091763366980.24,1.08213308880067,0.615022200029279,30.472918744867,1103706945035.86,1091763366980.24,2,0,0,35.7511987032342,0,1.08213308880064,2,0,0,42651112.170759,42651591.0771242,0.0038643945540941,0.00386435116337636,8.35884515661355e-05,0,42651591.0771536,0,0,0,0.0750750963622316,0,0.00386439455409677,0,S+U+R (+ repo),0.3
mask_SUR,0.4,0.4,10,1178459608115.54,1078789390675.97,1064250288146.67,1052887775135.89,2.40098908683601,1.34772390746171,59.1663288606732,1078789390675.97,1052887775135.89,3,0,0,40.5263137140689,0,2.40098908683604,3,0,0,19997417.8735332,19989630.0267125,0.00185296872582209,0.00185369063195947,0.000182291199992724,0,19989630.026739,0,0,0,0.160984257160187,0,0.00185296872582458,0,S+U+R (+ repo),0.4
mask_SUR,0.5,0.5,10,1178459608115.54,1053871836316.07,1038061479590.36,934913331990.229,11.2877581719687,1.50021626737626,686.352606767816,1053871836316.07,934913331990.229,5,0,0,45.0222539775964,0,11.2877581719687,5,0,0,14681473.0576692,13439713.8841055,0.00127527023884477,0.0013930985297975,0.00588190612594984,0,13439713.8840863,0,0,0,0.248337395170765,0,0.00127527023884291,0,S+U+R (+ repo),0.5
mask_SUR,0.6,0.6,10,1178459608115.54,1028954281956.18,1012985858767.3,766641214408.854,25.493170313518,1.55190793885634,1725.29722241464,1028954281956.18,766641214408.854,9,0,0,65.7111462582047,0,25.493170313518,9,0,0,12867918.2114371,9067537.98512561,0.000881238179784512,0.00125058211400544,0.0834385648748601,0,9067537.98512038,0,0,0,0.135296645174882,0,0.000881238179783704,0,S+U+R (+ repo),0.6
mask_SUR,0.7,0.7,10,1178459608115.54,1004036727596.29,991594359873.959,602862977846.739,39.9560831514577,1.23923432085138,2775.68525063361,1004036727596.29,602862977846.739,12,0,0,0,0,39.9560831514577,12,0,0,21793712.0045305,12539694.0861503,0.00124892782718952,0.00217060904302832,0.0990371156054865,0,12539694.086148,0,0,0,0,0,0.0012489278271889,0,S+U+R (+ repo),0.7
mask_SUR,0.8,0.8,10,1178459608115.54,979119173236.392,966582154843.852,494268497373.713,49.5190666382365,1.2804384527677,3450.48134874865,979119173236.392,494268497373.713,16,0,0,0,0,49.5190666382365,16,0,0,20204979.9511859,5697133.31458732,0.000581863114349336,0.00206358740626027,0.263649163113866,0,5697133.31458735,0,0,0,0,0,0.000581863114349578,0,S+U+R (+ repo),0.8
mask_SUR,0.9,0.9,10,1178459608115.54,954201618876.499,941837710997.556,437645477293.873,54.1349051776743,1.29573327422151,3754.60891017795,954201618876.498,437645477293.873,19,0,0,0,0,54.1349051776743,19,0,0,21039341.3497394,3279678.63197041,0.00034370918756477,0.00220491570476601,1.37902516279056,0,3279678.63196968,0,0,0,0,0,0.000343709187564733,0,S+U+R (+ repo),0.9
mask_SUR,1,1,10,1178459608115.54,929284064516.605,917092026975.976,425778449226.123,54.1820993726386,1.311981772438,3776.98547205102,929284064516.605,425778449226.123,19.4,0,0,0,0,54.1820993726386,19.4,0,0,23043069.5484993,1160801456.7791,0.12491352225898,0.00247965831206692,5.28533440194189,0,1160801456.7791,0.163299316185545,0,0,0,0,0.124913522258979,0.163299316185545,S+U+R (+ repo),1
