ecb_category,pledgeable_bn,share_pct
Credit claims (non-marketable),2107.62440084238,78.7059211689906
Central government,414.168357864514,15.4664664689525
Uncovered bank bonds,72.5810299788181,2.71042450523623
Regional/other government,47.6549186210209,1.77959804735684
Corporate & other marketable,35.8186128676525,1.33758980946382
