nu,nr,mask_S_pct,mask_SU_pct,mask_SUR_pct,mask_SURC_pct,mask_SURC_se,delta_U_pp,delta_R_pp,delta_C_pp,cbcf_gap_pp,headline
10,20,29.547798176933,29.547798176933,3.1069960309735,13.5002476995838,1.31747145658002,0,26.4408021459595,-10.3932516686103,16.0475504773493,FALSE
10,25,29.547798176933,29.547798176933,14.2670385086897,9.09302991589683,2.30158684870579,0,15.2807596682434,5.17400859279285,20.4547682610362,FALSE
10,30,29.547798176933,29.547798176933,11.2877581719687,11.414928363995,2.09576997822376,0,18.2600400049644,-0.127170192026341,18.132869812938,FALSE
10,35,29.547798176933,29.547798176933,11.2877581719687,11.414928363995,2.09576997822376,0,18.2600400049644,-0.127170192026341,18.132869812938,FALSE
10,40,29.547798176933,29.547798176933,11.2877581719687,11.414928363995,2.09576997822376,0,18.2600400049644,-0.127170192026341,18.132869812938,FALSE
15,20,29.547798176933,29.547798176933,3.1069960309735,13.5002476995838,1.31747145658002,0,26.4408021459595,-10.3932516686103,16.0475504773493,FALSE
15,25,29.547798176933,29.547798176933,14.2670385086897,9.09302991589683,2.30158684870579,0,15.2807596682434,5.17400859279285,20.4547682610362,FALSE
15,30,29.547798176933,29.547798176933,11.2877581719687,11.414928363995,2.09576997822376,0,18.2600400049644,-0.127170192026341,18.132869812938,FALSE
15,35,29.547798176933,29.547798176933,11.2877581719687,11.414928363995,2.09576997822376,0,18.2600400049644,-0.127170192026341,18.132869812938,FALSE
15,40,29.547798176933,29.547798176933,11.2877581719687,11.414928363995,2.09576997822376,0,18.2600400049644,-0.127170192026341,18.132869812938,FALSE
20,25,29.547798176933,29.547798176933,14.2670385086897,9.09302991589683,2.30158684870579,0,15.2807596682434,5.17400859279285,20.4547682610362,FALSE
20,30,29.547798176933,29.547798176933,11.2877581719687,11.414928363995,2.09576997822376,0,18.2600400049644,-0.127170192026341,18.132869812938,TRUE
20,35,29.547798176933,29.547798176933,11.2877581719687,11.414928363995,2.09576997822376,0,18.2600400049644,-0.127170192026341,18.132869812938,FALSE
20,40,29.547798176933,29.547798176933,11.2877581719687,11.414928363995,2.09576997822376,0,18.2600400049644,-0.127170192026341,18.132869812938,FALSE
25,30,29.547798176933,27.0623567863043,10.0157249384802,6.67141304688053,1.33663321581122,2.48544139062872,17.0466318478241,3.34431189159964,22.8763851300525,FALSE
25,35,29.547798176933,27.0623567863043,10.0157249384802,6.67141304688053,1.33663321581122,2.48544139062872,17.0466318478241,3.34431189159964,22.8763851300525,FALSE
25,40,29.547798176933,27.0623567863043,10.0157249384802,6.67141304688053,1.33663321581122,2.48544139062872,17.0466318478241,3.34431189159964,22.8763851300525,FALSE
30,35,29.547798176933,21.3026887250239,10.0157249384802,6.67141304688053,1.33663321581122,8.2451094519091,11.2869637865438,3.34431189159964,22.8763851300525,FALSE
30,40,29.547798176933,21.3026887250239,10.0157249384802,6.67141304688053,1.33663321581122,8.2451094519091,11.2869637865438,3.34431189159964,22.8763851300525,FALSE
